Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Honda,Amaze,S Cvt Petrol,"7,63,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19,90,110,Automatic,2470
Honda,Amaze,E Mt Diesel,"7,05,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1498,3995,1695,4,,27.4,100,200,Manual,2470
Honda,Amaze,E Mt Petrol,"5,93,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1498,3995,1695,4,,19.5,90,110,Manual,2470
Honda,Amaze,S Cvt Diesel,"8,65,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,23.8,80,160,Automatic,2470
Honda,Amaze,V Cvt Petrol,"8,23,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19,90,110,Automatic,2470
Honda,Amaze,V Cvt Diesel,"9,25,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,23.8,80,160,Automatic,2470
Honda,Amaze,S Mt Diesel,"7,85,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Manual,2470
Honda,Amaze,Vx Mt Diesel,"8,93,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Manual,2470
Honda,Amaze,V Mt Diesel,"8,45,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Manual,2470
Honda,Amaze,Vx Mt Petrol,"7,81,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Manual,2470
Honda,Amaze,V Mt Petrol,"7,33,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Manual,2470
Honda,Amaze,S Mt Petrol,"6,73,000",1198,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Manual,2470
Honda,Amaze,Exclusive Edition Diesel,"9,06,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Manual,2470
Honda,Amaze,Exclusive Edition Petrol,"7,94,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Manual,2470
Honda,Amaze,Vx Cvt Diesel,"9,66,000",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Automatic,2470
Honda,Amaze,Vx Cvt Petrol,"8,64,000",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Automatic,2470
Honda,Amaze,Ace Edition Cvt Diesel,"9,79,300",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Automatic,2470
Honda,Amaze,Ace Edition Cvt Petrol,"8,77,300",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Automatic,2470
Honda,Amaze,Ace Edition Mt Diesel,"9,06,300",1498,4,FWD (Front Wheel Drive),Injection,35,Diesel,1501,3995,1695,4,,27.4,100,200,Manual,2470
Honda,Amaze,Ace Edition Mt Petrol,"7,94,300",1199,4,FWD (Front Wheel Drive),Injection,35,Petrol,1501,3995,1695,4,,19.5,90,110,Manual,2470
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
